STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/14,0,",,s",,,49,",,s",57,",,s",45,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/15,0,"T,,s",,,50,",,s",55,",,s",47,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/16,0,",,s",,,48,",,s",58,",,s",38,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/17,0,",,s",,,55,",,s",64,",,s",48,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/18,0.07,",,s",,,59,",,s",70,",,s",51,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/19,0,",,s",,,59,",,s",71,",,s",47,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/20,0,"T,,s",,,61,",,s",67,",,s",57,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/21,0,"T,,s",,,56,",,s",62,",,s",51,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/22,0,",,s",,,56,",,s",62,",,s",52,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/23,0.09,",,s",,,54,",,s",59,",,s",50,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/24,0,"T,,s",,,49,",,s",53,",,s",48,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/25,0,",,s",,,49,",,s",56,",,s",45,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/26,0.04,",,s",,,52,",,s",61,",,s",45,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/27,0,",,s",,,51,",,s",56,",,s",49,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/28,0.33,",,s",,,53,",,s",63,",,s",46,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/29,0,",,s",,,54,",,s",63,",,s",47,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/30,0,",,s",,,57,",,s",66,",,s",53,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/3/31,0.02,",,s",,,47,",,s",53,",,s",43,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/1,0,",,s",,,47,",,s",60,",,s",36,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/2,0,",,s",,,55,",,s",64,",,s",49,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/3,0,",,s",,,55,",,s",65,",,s",44,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/4,0,",,s",,,60,",,s",69,",,s",54,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/5,0,",,s",,,61,",,s",71,",,s",55,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/6,0,",,s",,,62,",,s",78,",,s",48,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/7,0,",,s",,,64,",,s",80,",,s",52,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/8,0,",,s",,,69,",,s",82,",,s",60,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/9,0,"T,,s",,,68,",,s",79,",,s",62,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/10,0.05,",,s",,,63,",,s",68,",,s",60,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/11,0,",,s",,,64,",,s",77,",,s",52,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/12,0.06,",,s",,,64,",,s",71,",,s",58,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/13,0.26,",,s",,,50,",,s",59,",,s",44,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/14,0,",,s",,,50,",,s",60,",,s",39,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/15,0,",,s",,,55,",,s",69,",,s",42,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/16,0,",,s",,,62,",,s",77,",,s",48,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/17,0,",,s",,,64,",,s",78,",,s",51,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/18,0,",,s",,,68,",,s",83,",,s",56,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/19,0,",,s",,,72,",,s",86,",,s",63,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/20,0,",,s",,,74,",,s",86,",,s",64,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/21,0.1,",,s",,,66,",,s",77,",,s",59,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/22,0.16,",,s",,,64,",,s",70,",,s",61,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/23,0.32,",,s",,,62,",,s",67,",,s",59,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/24,0.64,",,s",,,55,",,s",61,",,s",51,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/25,0,",,s",,,56,",,s",62,",,s",52,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/26,0.19,",,s",,,59,",,s",66,",,s",52,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/27,0,",,s",,,60,",,s",63,",,s",57,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/28,0.03,",,s",,,61,",,s",71,",,s",53,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/29,0.01,",,s",,,65,",,s",75,",,s",56,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/4/30,0,",,s",,,69,",,s",79,",,s",60,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/1,0,",,s",,,71,",,s",78,",,s",64,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/2,0,",,s",,,72,",,s",83,",,s",63,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/3,0.44,",,s",,,73,",,s",84,",,s",67,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/4,0.63,",,s",,,70,",,s",79,",,s",62,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/5,0.06,",,s",,,63,",,s",71,",,s",61,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/6,0.09,",,s",,,63,",,s",69,",,s",58,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/7,0,",,s",,,63,",,s",69,",,s",59,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/8,0,",,s",,,67,",,s",79,",,s",58,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/9,0,"T,,s",,,68,",,s",75,",,s",62,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/10,0.24,",,s",,,61,",,s",67,",,s",57,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/11,0,",,s",,,64,",,s",78,",,s",50,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/12,0,",,s",,,70,",,s",78,",,s",63,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/13,0,"T,,s",,,73,",,s",83,",,s",66,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/14,0,"T,,s",,,79,",,s",94,",,s",65,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/5/15,0,",,s",,,78,",,s",90,",,s",69,",,s"
