STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/22,0,",,s",,,49,",,s",62,",,s",40,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/23,0,",,s",,,41,",,s",54,",,s",37,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/24,0,",,s",,,41,",,s",52,",,s",33,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/25,0,"T,,s",,,45,",,s",64,",,s",36,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/26,0,",,s",,,45,",,s",63,",,s",35,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/27,0,"T,,s",,,47,",,s",60,",,s",38,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/28,0,",,s",,,49,",,s",69,",,s",39,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/29,0,",,s",,,53,",,s",72,",,s",38,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/30,0,",,s",,,57,",,s",70,",,s",43,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/1,0,",,s",,,59,",,s",81,",,s",42,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/2,0,",,s",,,60,",,s",79,",,s",45,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/3,0,",,s",,,51,",,s",64,",,s",47,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/4,0,",,s",,,53,",,s",66,",,s",45,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/5,0,",,s",,,49,",,s",59,",,s",44,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/6,0,"T,,s",,,52,",,s",69,",,s",37,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/7,0,",,s",,,49,",,s",65,",,s",44,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/8,0,",,s",,,50,",,s",69,",,s",34,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/9,0.07,",,s",,,49,",,s",60,",,s",38,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/10,0,",,s",,,49,",,s",65,",,s",37,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/11,0,",,s",,,56,",,s",77,",,s",37,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/12,0,",,s",,,61,",,s",73,",,s",46,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/13,0,",,s",,,66,",,s",80,",,s",54,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/14,0,"T,,s",,,61,",,s",74,",,s",49,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/15,0,"T,,s",,,54,",,s",64,",,s",48,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/16,0,",,s",,,51,",,s",65,",,s",42,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/17,0,"T,,s",,,55,",,s",66,",,s",43,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/18,0.07,",,s",,,53,",,s",64,",,s",46,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/19,0,",,s",,,59,",,s",80,",,s",40,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/20,0,"T,,s",,,62,",,s",77,",,s",48,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/21,0,"T,,s",,,64,",,s",77,",,s",54,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/22,0,",,s",,,64,",,s",78,",,s",48,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/23,0,"T,,s",,,61,",,s",71,",,s",55,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/24,0.26,",,s",,,50,",,s",61,",,s",43,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/25,0,",,s",,,50,",,s",63,",,s",37,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/26,0,",,s",,,56,",,s",76,",,s",38,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/27,0,",,s",,,60,",,s",76,",,s",42,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/28,0,",,s",,,62,",,s",76,",,s",46,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/29,0,"T,,s",,,58,",,s",71,",,s",46,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/5/30,0.17,",,s",,,48,",,s",61,",,s",44,",,s"
